worker_id,full_name,phone,email,city,locality,category,user_zone,worker_zone,available,weekly_gigs,rating,completed_jobs,acceptance_rate,cancellation_rate,response_minutes,price,budget,distance_km,successful_booking
29,Deepika Sharma,+916394741969,worker29@kaushalkonnect.in,Delhi,Dwarka,Home Cleaning,West,West,1,12,4.21,404,0.89,0.06,91,529,1314,4.1,0
30,Yash Sheikh,+918044295283,worker30@kaushalkonnect.in,Delhi,Janakpuri,Electrical,West,West,1,10,3.79,521,0.87,0.06,40,465,1034,1.6,0
31,Aarav Menon,+916054374953,worker31@kaushalkonnect.in,Delhi,Saket,Carpentry,South,South,1,10,4.53,644,0.8,0.08,16,807,2861,11.8,0
32,Nisha Saini,+917929346227,worker32@kaushalkonnect.in,Delhi,Malviya Nagar,Electrical,South,South,1,12,4.39,408,0.71,0.01,53,482,692,6.4,1
33,Anil Rana,+917294903701,worker33@kaushalkonnect.in,Delhi,Karol Bagh,Appliance Repair,Central,Central,1,11,4.74,123,0.78,0.06,50,692,2157,8.2,1
34,Anjali Rana,+917276030570,worker34@kaushalkonnect.in,Delhi,Rajouri Garden,Plumbing,West,West,1,10,4.56,160,0.94,0.01,17,607,1743,8.5,1
35,Akash Jain,+917527938175,worker35@kaushalkonnect.in,Noida,Sector 62,Appliance Repair,Noida,Noida,1,12,3.65,273,0.91,0.13,69,645,3580,3.3,1
36,Simran Naidu,+918095010330,worker36@kaushalkonnect.in,Noida,Sector 18,Electrical,Noida,Noida,1,17,4.08,310,0.78,0.1,72,493,1111,5.5,0
37,Amit Arora,+917225361175,worker37@kaushalkonnect.in,Noida,Sector 50,Painting,Noida,Noida,1,2,4.28,89,0.9,0.06,36,353,1971,0.8,1
38,Mohit Naidu,+918126304162,worker38@kaushalkonnect.in,Noida,Sector 137,Electrical,Noida,Noida,1,5,3.92,641,0.95,0.14,38,762,1254,11.2,1
39,Rahul Chauhan,+917757476412,worker39@kaushalkonnect.in,Greater Noida,Knowledge Park,Electrical,Greater Noida,Greater Noida,1,8,3.8,604,0.89,0.14,57,584,2284,1.5,0
40,Rakesh Negi,+919135902818,worker40@kaushalkonnect.in,Greater Noida,Alpha 1,Electrical,Greater Noida,Greater Noida,1,14,4.66,107,0.89,0.1,57,646,1948,2.9,1
41,Karan Shah,+919446580566,worker41@kaushalkonnect.in,Ghaziabad,Indirapuram,Home Cleaning,Ghaziabad,Ghaziabad,1,12,4.21,414,0.93,0.13,46,344,1796,8.2,1
42,Pradeep Verma,+916698205979,worker42@kaushalkonnect.in,Ghaziabad,Vaishali,Plumbing,Ghaziabad,Ghaziabad,1,11,4.49,385,0.88,0.12,42,490,1299,9.5,0
43,Yash Khan,+916017868455,worker43@kaushalkonnect.in,Ghaziabad,Kaushambi,Plumbing,Ghaziabad,Ghaziabad,0,22,3.54,637,0.85,0.09,38,604,2227,12.1,0
44,Ashish Sood,+919695741183,worker44@kaushalkonnect.in,Gurugram,Sector 14,Carpentry,Gurugram,Gurugram,0,17,3.6,334,0.99,0.03,63,702,1411,7.6,1
45,Karan Singh,+917781196122,worker45@kaushalkonnect.in,Gurugram,Sector 56,Home Cleaning,Gurugram,Gurugram,1,6,4.11,414,0.78,0.08,79,477,837,1.1,0
46,Karan Bisht,+918053827083,worker46@kaushalkonnect.in,Gurugram,DLF Phase 3,Carpentry,Gurugram,Gurugram,0,13,4.38,469,0.93,0.01,75,708,2750,12.3,0
47,Ashish Menon,+916086973558,worker47@kaushalkonnect.in,Faridabad,Sector 15,Electrical,Faridabad,Faridabad,1,4,4.56,573,0.85,0.04,10,571,1243,9.6,1
48,Siddharth Jain,+917760488596,worker48@kaushalkonnect.in,Faridabad,Sector 21,Home Cleaning,Faridabad,Faridabad,1,13,4.99,370,0.99,0.15,27,322,630,9.6,0
49,Naman Malhotra,+919249356216,worker49@kaushalkonnect.in,Delhi,Laxmi Nagar,Home Cleaning,East,East,0,9,3.86,344,0.95,0.12,48,330,539,7.6,0
50,Ashish Verma,+918519947178,worker50@kaushalkonnect.in,Delhi,Preet Vihar,Carpentry,East,East,1,10,4.6,594,0.94,0.08,20,766,1858,7.3,0
51,Sakshi Mishra,+917991046995,worker51@kaushalkonnect.in,Delhi,Rohini,Plumbing,North,North,0,9,4.32,370,0.89,0.04,56,495,1024,14.1,0
52,Gaurav Qureshi,+919565165993,worker52@kaushalkonnect.in,Delhi,Pitampura,Home Cleaning,North,North,1,11,3.86,156,0.81,0.07,40,393,643,3.1,1
53,Karan Jain,+919375995435,worker53@kaushalkonnect.in,Delhi,Dwarka,Painting,West,West,1,7,4.05,275,0.97,0.03,127,412,1176,6.3,0
54,Neeraj Saxena,+918437721806,worker54@kaushalkonnect.in,Delhi,Janakpuri,Carpentry,West,West,1,9,3.86,130,0.79,0.07,46,819,2803,7.5,0
55,Neeraj Tripathi,+917557439980,worker55@kaushalkonnect.in,Delhi,Saket,Carpentry,South,South,0,8,3.4,133,0.9,0.02,42,895,985,8.3,1
56,Divya Thakur,+917513798107,worker56@kaushalkonnect.in,Delhi,Malviya Nagar,Carpentry,South,South,0,4,4.04,642,0.89,0.02,45,719,1911,3.2,1
57,Rahul Chaudhary,+919991378428,worker57@kaushalkonnect.in,Delhi,Karol Bagh,Carpentry,Central,Central,1,8,4.38,428,0.99,0.08,66,723,2914,12.9,0
58,Ayush Reddy,+917496424984,worker58@kaushalkonnect.in,Delhi,Rajouri Garden,Carpentry,West,West,1,8,4.45,93,0.86,0.11,69,634,1081,4.8,1
59,Naman Menon,+916593927992,worker59@kaushalkonnect.in,Noida,Sector 62,Carpentry,Noida,Noida,1,8,3.58,255,0.99,0.13,57,555,4344,14.6,1
60,Aditi Srivastava,+917232925942,worker60@kaushalkonnect.in,Noida,Sector 18,Plumbing,Noida,Noida,1,5,4.46,117,0.76,0.09,45,730,914,4.9,1
61,Karan Ghosh,+916998765758,worker61@kaushalkonnect.in,Noida,Sector 50,Painting,Noida,Noida,1,5,4.62,382,0.92,0.16,10,547,2840,12.8,1
62,Kavita Roy,+919463605709,worker62@kaushalkonnect.in,Noida,Sector 137,Appliance Repair,Noida,Noida,1,4,4.36,400,0.99,0.06,25,1058,3730,3.0,0
63,Kunal Tripathi,+917713221365,worker63@kaushalkonnect.in,Greater Noida,Knowledge Park,Appliance Repair,Greater Noida,Greater Noida,1,10,3.95,506,0.88,0.01,10,980,744,7.6,0
64,Sonu Tiwari,+916941642456,worker64@kaushalkonnect.in,Greater Noida,Alpha 1,Electrical,Greater Noida,Greater Noida,0,7,4.1,559,0.98,0.06,44,708,1153,12.7,1
65,Divya Sharma,+919617765190,worker65@kaushalkonnect.in,Ghaziabad,Indirapuram,Appliance Repair,Ghaziabad,Ghaziabad,1,11,3.48,253,0.86,0.06,10,504,3471,2.8,1
66,Shreya Khan,+916865191049,worker66@kaushalkonnect.in,Ghaziabad,Vaishali,Electrical,Ghaziabad,Ghaziabad,1,9,3.95,232,0.79,0.07,10,798,2971,3.9,1
67,Shreya Ghosh,+919627427962,worker67@kaushalkonnect.in,Ghaziabad,Kaushambi,Electrical,Ghaziabad,Ghaziabad,1,2,4.16,79,0.85,0.14,34,446,2594,1.1,1
68,Kunal Verma,+916572768981,worker68@kaushalkonnect.in,Gurugram,Sector 14,Painting,Gurugram,Gurugram,1,7,3.78,159,0.85,0.12,41,574,2616,0.9,1
69,Priya Khan,+918593874794,worker69@kaushalkonnect.in,Gurugram,Sector 56,Home Cleaning,Gurugram,Gurugram,0,4,4.29,138,0.91,0.01,46,517,1353,6.5,1
70,Anil Bhatia,+917902178610,worker70@kaushalkonnect.in,Gurugram,DLF Phase 3,Plumbing,Gurugram,Gurugram,1,11,4.62,138,0.81,0.14,34,545,862,5.1,0
71,Arnav Qureshi,+918614507171,worker71@kaushalkonnect.in,Faridabad,Sector 15,Appliance Repair,Faridabad,Faridabad,1,9,5.0,387,0.97,0.01,38,484,2279,14.4,0
72,Pradeep Pandey,+918359561404,worker72@kaushalkonnect.in,Faridabad,Sector 21,Appliance Repair,Faridabad,Faridabad,1,16,3.77,596,0.85,0.03,86,870,4497,7.6,1
73,Sunil Bansal,+918209857782,worker73@kaushalkonnect.in,Delhi,Laxmi Nagar,Electrical,East,East,1,11,3.69,138,0.86,0.14,67,733,2766,10.9,0
74,Amit Singh,+916052441830,worker74@kaushalkonnect.in,Delhi,Preet Vihar,Plumbing,East,East,0,11,4.02,439,0.89,0.04,61,725,1404,9.1,1
75,Shreya Tiwari,+918148514144,worker75@kaushalkonnect.in,Delhi,Rohini,Painting,North,North,1,14,3.72,640,0.86,0.09,39,590,921,10.1,1
76,Rahul Arora,+918137619980,worker76@kaushalkonnect.in,Delhi,Pitampura,Carpentry,North,North,1,10,4.34,53,0.92,0.03,12,660,823,4.1,1
77,Neeraj Thakur,+916530706667,worker77@kaushalkonnect.in,Delhi,Dwarka,Appliance Repair,West,West,1,9,4.07,207,0.99,0.14,94,1076,2414,2.5,1
78,Deepak Sharma,+917385386091,worker78@kaushalkonnect.in,Delhi,Janakpuri,Electrical,West,West,1,9,4.77,60,0.83,0.11,104,557,767,6.9,1
79,Suman Joshi,+918409127549,worker79@kaushalkonnect.in,Delhi,Saket,Appliance Repair,South,South,0,13,4.08,117,0.9,0.06,74,944,1048,4.7,0
80,Vivek Jain,+919981742462,worker80@kaushalkonnect.in,Delhi,Malviya Nagar,Electrical,South,South,1,6,3.93,72,0.86,0.04,100,783,1464,10.7,1
81,Ankit Pandey,+918072606082,worker81@kaushalkonnect.in,Delhi,Karol Bagh,Electrical,Central,Central,1,13,4.13,71,0.86,0.11,53,723,905,11.1,1
82,Akash Chaudhary,+919877729235,worker82@kaushalkonnect.in,Delhi,Rajouri Garden,Plumbing,West,West,1,6,4.6,479,0.95,0.19,10,576,1225,3.8,0
83,Amit Thakur,+919233980532,worker83@kaushalkonnect.in,Noida,Sector 62,Appliance Repair,Noida,Noida,1,10,3.8,573,0.88,0.16,94,724,1664,4.8,1
84,Sachin Bhardwaj,+917713061913,worker84@kaushalkonnect.in,Noida,Sector 18,Home Cleaning,Noida,Noida,0,7,4.63,166,0.85,0.06,94,540,753,11.3,0
85,Vikram Wadhwa,+919909957616,worker85@kaushalkonnect.in,Noida,Sector 50,Appliance Repair,Noida,Noida,1,10,3.44,465,0.89,0.09,44,554,3711,2.8,1
86,Anil Pandey,+917987835723,worker86@kaushalkonnect.in,Noida,Sector 137,Home Cleaning,Noida,Noida,1,1,4.1,646,0.94,0.02,98,500,941,4.7,0
87,Aman Saxena,+917476807826,worker87@kaushalkonnect.in,Greater Noida,Knowledge Park,Carpentry,Greater Noida,Greater Noida,0,7,4.82,125,0.92,0.08,67,666,3932,14.1,1
88,Shreya Roy,+918057241978,worker88@kaushalkonnect.in,Greater Noida,Alpha 1,Home Cleaning,Greater Noida,Greater Noida,1,11,4.48,531,0.85,0.06,73,467,856,9.2,0
89,Anil Arora,+919011963081,worker89@kaushalkonnect.in,Ghaziabad,Indirapuram,Carpentry,Ghaziabad,Ghaziabad,1,7,4.81,556,0.86,0.01,108,659,1797,3.1,1
90,Priya Bansal,+918576780440,worker90@kaushalkonnect.in,Ghaziabad,Vaishali,Home Cleaning,Ghaziabad,Ghaziabad,1,9,3.9,469,0.97,0.1,66,324,1036,1.3,1
91,Ashish Chaudhary,+916388656173,worker91@kaushalkonnect.in,Ghaziabad,Kaushambi,Electrical,Ghaziabad,Ghaziabad,1,7,3.58,570,0.91,0.01,30,645,1392,10.1,0
92,Sameer Khan,+917492716523,worker92@kaushalkonnect.in,Gurugram,Sector 14,Plumbing,Gurugram,Gurugram,1,6,5.0,444,0.89,0.1,59,432,1754,7.8,1
93,Karan Iyer,+918928210204,worker93@kaushalkonnect.in,Gurugram,Sector 56,Painting,Gurugram,Gurugram,0,15,4.0,472,0.93,0.13,70,507,2222,12.9,0
94,Riya Dutta,+919234241091,worker94@kaushalkonnect.in,Gurugram,DLF Phase 3,Electrical,Gurugram,Gurugram,1,17,4.28,579,0.88,0.08,69,669,1308,5.3,1
95,Ananya Ghosh,+916634993059,worker95@kaushalkonnect.in,Faridabad,Sector 15,Home Cleaning,Faridabad,Faridabad,1,4,4.41,544,0.83,0.03,35,404,1058,11.7,1
96,Kavita Reddy,+916220439054,worker96@kaushalkonnect.in,Faridabad,Sector 21,Plumbing,Faridabad,Faridabad,1,10,3.15,417,0.96,0.03,101,662,1731,9.4,1
97,Vikram Das,+917944860372,worker97@kaushalkonnect.in,Delhi,Laxmi Nagar,Carpentry,East,East,1,8,3.96,365,0.92,0.04,50,602,1603,12.9,1
98,Karan Agarwal,+917035978645,worker98@kaushalkonnect.in,Delhi,Preet Vihar,Carpentry,East,East,1,11,4.68,610,0.9,0.14,37,872,1855,2.6,1
99,Karan Nair,+919958864994,worker99@kaushalkonnect.in,Delhi,Rohini,Painting,North,North,1,9,5.0,589,0.99,0.04,87,557,1727,9.1,0
100,Meera Sheikh,+917591218180,worker100@kaushalkonnect.in,Delhi,Pitampura,Plumbing,North,North,1,12,4.24,561,0.79,0.11,60,597,731,11.3,0
101,Rahul Yadav,+919207243007,worker101@kaushalkonnect.in,Delhi,Dwarka,Home Cleaning,West,West,0,6,3.78,316,0.88,0.01,50,307,1384,2.5,1
102,Sakshi Gupta,+919303897733,worker102@kaushalkonnect.in,Delhi,Janakpuri,Painting,West,West,1,14,4.17,622,0.81,0.15,31,567,3630,7.9,0
103,Neeraj Malhotra,+918283426119,worker103@kaushalkonnect.in,Delhi,Saket,Carpentry,South,South,1,4,3.95,523,0.97,0.04,81,463,2521,4.6,1
104,Anjali Bhatia,+916465428848,worker104@kaushalkonnect.in,Delhi,Malviya Nagar,Home Cleaning,South,South,1,9,4.39,390,0.82,0.07,17,465,544,4.8,1
105,Naman Sharma,+918840577819,worker105@kaushalkonnect.in,Delhi,Karol Bagh,Carpentry,Central,Central,1,9,4.5,265,0.93,0.07,10,653,2540,10.3,1
106,Priya Saini,+916091225815,worker106@kaushalkonnect.in,Delhi,Rajouri Garden,Painting,West,West,1,5,4.05,532,0.91,0.05,71,356,1736,7.6,1
107,Yash Sood,+916547473392,worker107@kaushalkonnect.in,Noida,Sector 62,Carpentry,Noida,Noida,1,1,3.78,492,0.89,0.11,26,818,4429,9.1,1
108,Vivek Ali,+919642463330,worker108@kaushalkonnect.in,Noida,Sector 18,Painting,Noida,Noida,1,10,3.62,254,0.74,0.06,57,468,3640,1.9,1
109,Sameer Khanna,+917322038789,worker109@kaushalkonnect.in,Noida,Sector 50,Electrical,Noida,Noida,0,10,4.17,418,0.93,0.14,11,682,1764,2.8,0
110,Kavita Das,+917825127151,worker110@kaushalkonnect.in,Noida,Sector 137,Electrical,Noida,Noida,1,4,3.58,142,0.92,0.07,64,779,814,4.4,1
111,Isha Ansari,+916990632343,worker111@kaushalkonnect.in,Greater Noida,Knowledge Park,Electrical,Greater Noida,Greater Noida,1,12,4.13,281,0.92,0.08,73,451,1128,9.1,0
112,Meera Roy,+916738567617,worker112@kaushalkonnect.in,Greater Noida,Alpha 1,Home Cleaning,Greater Noida,Greater Noida,1,9,4.55,43,0.92,0.14,93,458,1381,7.0,0
113,Riya Roy,+916206520209,worker113@kaushalkonnect.in,Ghaziabad,Indirapuram,Electrical,Ghaziabad,Ghaziabad,1,7,4.47,129,0.9,0.01,99,485,2551,1.0,1
114,Naman Sheikh,+917224867724,worker114@kaushalkonnect.in,Ghaziabad,Vaishali,Painting,Ghaziabad,Ghaziabad,1,16,4.61,544,0.87,0.15,89,605,1180,4.3,1
115,Ayush Srivastava,+919761192815,worker115@kaushalkonnect.in,Ghaziabad,Kaushambi,Home Cleaning,Ghaziabad,Ghaziabad,1,11,4.77,112,0.79,0.15,24,342,1716,4.9,1
116,Isha Shah,+918578997127,worker116@kaushalkonnect.in,Gurugram,Sector 14,Home Cleaning,Gurugram,Gurugram,1,14,4.09,213,0.86,0.1,69,408,813,7.6,0
117,Aarav Ansari,+917163072693,worker117@kaushalkonnect.in,Gurugram,Sector 56,Plumbing,Gurugram,Gurugram,0,9,4.01,118,0.81,0.18,44,496,2187,6.6,0
118,Rohit Roy,+918348317277,worker118@kaushalkonnect.in,Gurugram,DLF Phase 3,Appliance Repair,Gurugram,Gurugram,1,13,4.43,581,0.92,0.1,47,802,2682,3.5,0
119,Vinay Sheikh,+916340869813,worker119@kaushalkonnect.in,Faridabad,Sector 15,Home Cleaning,Faridabad,Faridabad,1,10,3.83,50,0.79,0.08,27,331,1108,4.2,0
120,Nikhil Sharma,+918148930290,worker120@kaushalkonnect.in,Faridabad,Sector 21,Carpentry,Faridabad,Faridabad,1,5,4.57,283,0.91,0.02,10,466,1234,2.1,1
121,Vinay Ali,+918008614993,worker121@kaushalkonnect.in,Delhi,Laxmi Nagar,Painting,East,East,1,15,3.97,632,0.72,0.09,67,594,2696,8.4,0
122,Suraj Saini,+916637555117,worker122@kaushalkonnect.in,Delhi,Preet Vihar,Appliance Repair,East,East,1,1,4.49,568,0.82,0.01,112,853,2565,12.8,0
123,Siddharth Roy,+918986848572,worker123@kaushalkonnect.in,Delhi,Rohini,Home Cleaning,North,North,1,3,4.69,7,0.8,0.01,10,301,595,2.3,0
124,Yash Sharma,+918233328169,worker124@kaushalkonnect.in,Delhi,Pitampura,Electrical,North,North,0,11,4.39,592,0.91,0.15,51,727,2507,9.6,0
125,Pradeep Tiwari,+917151317260,worker125@kaushalkonnect.in,Delhi,Dwarka,Electrical,West,West,0,8,4.18,65,0.86,0.05,51,579,2843,4.5,0
126,Simran Saini,+917666873564,worker126@kaushalkonnect.in,Delhi,Janakpuri,Electrical,West,West,1,11,4.86,311,0.92,0.09,72,677,2315,10.8,0
127,Arnav Naidu,+917338473647,worker127@kaushalkonnect.in,Delhi,Saket,Home Cleaning,South,South,1,9,4.03,287,0.76,0.1,65,361,1584,7.5,1
128,Nikhil Ghosh,+919260574345,worker128@kaushalkonnect.in,Delhi,Malviya Nagar,Painting,South,South,1,6,3.67,552,0.93,0.12,59,570,1672,4.0,1
129,Anjali Iyer,+918073812889,worker129@kaushalkonnect.in,Delhi,Karol Bagh,Carpentry,Central,Central,1,14,4.22,582,0.94,0.09,56,674,903,4.7,1
130,Nisha Chauhan,+919867746593,worker130@kaushalkonnect.in,Delhi,Rajouri Garden,Electrical,West,West,1,6,4.34,476,0.96,0.07,109,535,2243,8.3,0
131,Rakesh Kohli,+916795154597,worker131@kaushalkonnect.in,Noida,Sector 62,Painting,Noida,Noida,1,13,4.54,544,0.88,0.15,87,453,3096,13.6,1
132,Ashish Srivastava,+919592596666,worker132@kaushalkonnect.in,Noida,Sector 18,Painting,Noida,Noida,1,5,4.13,213,0.96,0.08,77,466,3218,5.6,1
133,Vikram Roy,+918112175602,worker133@kaushalkonnect.in,Noida,Sector 50,Electrical,Noida,Noida,1,10,3.58,428,0.87,0.04,38,788,1381,5.6,1
134,Yogesh Wadhwa,+918865170114,worker134@kaushalkonnect.in,Noida,Sector 137,Appliance Repair,Noida,Noida,1,19,4.61,44,0.92,0.07,44,701,3864,6.4,1
135,Simran Negi,+918729311515,worker135@kaushalkonnect.in,Greater Noida,Knowledge Park,Electrical,Greater Noida,Greater Noida,1,4,3.61,494,0.84,0.1,72,438,1642,1.8,1
136,Sachin Kohli,+917534758490,worker136@kaushalkonnect.in,Greater Noida,Alpha 1,Plumbing,Greater Noida,Greater Noida,1,12,4.67,58,0.85,0.12,46,673,1335,1.1,1
137,Sunil Chaudhary,+919874778538,worker137@kaushalkonnect.in,Ghaziabad,Indirapuram,Carpentry,Ghaziabad,Ghaziabad,1,1,3.48,31,0.81,0.09,10,661,2155,11.5,1
138,Sunil Bhardwaj,+918758173006,worker138@kaushalkonnect.in,Ghaziabad,Vaishali,Painting,Ghaziabad,Ghaziabad,1,3,4.51,56,0.77,0.09,42,395,3382,4.6,0
139,Sunil Negi,+916881566405,worker139@kaushalkonnect.in,Ghaziabad,Kaushambi,Electrical,Ghaziabad,Ghaziabad,1,7,4.4,357,0.86,0.08,49,796,2791,13.1,0
140,Nisha Mishra,+918324251359,worker140@kaushalkonnect.in,Gurugram,Sector 14,Painting,Gurugram,Gurugram,1,6,5.0,479,0.99,0.1,48,506,3199,11.3,0
141,Suman Gupta,+918265284578,worker141@kaushalkonnect.in,Gurugram,Sector 56,Electrical,Gurugram,Gurugram,1,7,4.92,98,0.88,0.03,20,555,2264,7.1,0
142,Akash Srivastava,+917415599010,worker142@kaushalkonnect.in,Gurugram,DLF Phase 3,Appliance Repair,Gurugram,Gurugram,1,16,4.27,448,0.9,0.07,54,1098,3921,9.3,0
143,Akash Kumar,+916456546675,worker143@kaushalkonnect.in,Faridabad,Sector 15,Home Cleaning,Faridabad,Faridabad,1,4,4.5,73,0.81,0.08,51,382,1653,12.8,0
144,Sachin Bansal,+918501748402,worker144@kaushalkonnect.in,Faridabad,Sector 21,Carpentry,Faridabad,Faridabad,1,12,4.47,42,0.87,0.09,94,579,3373,6.9,0
145,Naman Dutta,+919669998107,worker145@kaushalkonnect.in,Delhi,Laxmi Nagar,Appliance Repair,East,East,0,15,3.74,591,0.97,0.03,51,1099,856,8.3,0
146,Anjali Verma,+918119535074,worker146@kaushalkonnect.in,Delhi,Preet Vihar,Painting,East,East,1,3,4.34,209,0.89,0.01,50,490,3172,9.7,0
147,Vinay Ghosh,+918259645537,worker147@kaushalkonnect.in,Delhi,Rohini,Home Cleaning,North,North,0,8,5.0,624,0.83,0.08,64,544,509,1.4,1
148,Ananya Menon,+917919300133,worker148@kaushalkonnect.in,Delhi,Pitampura,Appliance Repair,North,North,1,18,4.17,366,0.98,0.07,50,857,1480,3.0,0
149,Pankaj Khan,+916525670777,worker149@kaushalkonnect.in,Delhi,Dwarka,Electrical,West,West,1,12,4.14,158,0.97,0.14,75,782,2498,1.0,0
150,Vivek Dutta,+916200259869,worker150@kaushalkonnect.in,Delhi,Janakpuri,Appliance Repair,West,West,1,6,4.44,320,0.92,0.1,122,681,3575,9.3,1
151,Nikhil Mehta,+916886605653,worker151@kaushalkonnect.in,Delhi,Saket,Home Cleaning,South,South,0,7,4.64,401,0.8,0.04,60,377,874,14.1,0
152,Nikhil Wadhwa,+917371472998,worker152@kaushalkonnect.in,Delhi,Malviya Nagar,Appliance Repair,South,South,1,14,4.9,218,0.85,0.01,67,886,4867,10.9,1
153,Sunil Menon,+918674949944,worker153@kaushalkonnect.in,Delhi,Karol Bagh,Electrical,Central,Central,1,3,4.73,361,0.81,0.01,73,477,992,12.4,1
154,Naman Saini,+916659691650,worker154@kaushalkonnect.in,Delhi,Rajouri Garden,Painting,West,West,1,8,4.64,587,0.81,0.04,57,423,1972,11.5,1
