booking_id,worker_id,customer_id,category,user_zone,budget,status,created_at,customer_name,customer_phone,customer_email
52,627,483,Appliance Repair,Noida,3529,booked,2026-06-20T06:14:04.373892+00:00,Yash Thakur,+917226026852,customer483@kaushalkonnect.in
53,576,500,Plumbing,Faridabad,1579,completed,2026-08-31T21:46:29.373892+00:00,Rohit Das,+919484665303,customer500@kaushalkonnect.in
54,205,35,Appliance Repair,Gurugram,2481,booked,2026-08-29T07:11:21.373892+00:00,Nisha Mehta,+916462424676,customer35@kaushalkonnect.in
55,236,291,Electrical,Noida,1858,completed,2026-08-11T16:17:49.373892+00:00,Arnav Khanna,+919996736147,customer291@kaushalkonnect.in
56,316,394,Home Cleaning,Greater Noida,530,booked,2026-09-01T11:49:03.373892+00:00,Anil Thakur,+917551313085,customer394@kaushalkonnect.in
57,75,284,Painting,Noida,1428,booked,2026-08-25T02:08:17.373892+00:00,Nisha Negi,+916918387884,customer284@kaushalkonnect.in
58,592,189,Electrical,Greater Noida,1386,requested,2026-08-23T20:10:15.373892+00:00,Mohit Roy,+918455755597,customer189@kaushalkonnect.in
59,136,568,Plumbing,Delhi,765,rejected,2026-06-20T15:43:20.373892+00:00,Pankaj Kohli,+917717004368,customer568@kaushalkonnect.in
60,309,258,Electrical,Delhi,2448,booked,2026-08-08T17:29:23.373892+00:00,Yogesh Bhatia,+917616038852,customer258@kaushalkonnect.in
61,882,10,Home Cleaning,Faridabad,828,requested,2026-06-13T19:13:05.373892+00:00,Nisha Saxena,+917657347670,customer10@kaushalkonnect.in
62,329,42,Carpentry,Noida,947,booked,2026-08-13T23:48:01.373892+00:00,Ananya Verma,+917337246396,customer42@kaushalkonnect.in
63,537,90,Painting,Gurugram,1875,requested,2026-07-12T22:10:43.373892+00:00,Ayush Srivastava,+917310982232,customer90@kaushalkonnect.in
64,620,565,Carpentry,Greater Noida,1196,requested,2026-07-21T08:19:21.373892+00:00,Deepika Bansal,+919147617740,customer565@kaushalkonnect.in
65,349,227,Home Cleaning,Delhi,1422,completed,2026-07-22T10:24:13.373892+00:00,Yogesh Qureshi,+917658406263,customer227@kaushalkonnect.in
66,676,517,Electrical,Noida,1639,booked,2026-08-03T17:08:45.373892+00:00,Aman Agarwal,+916999487864,customer517@kaushalkonnect.in
67,526,61,Plumbing,Delhi,1382,requested,2026-09-02T20:38:19.373892+00:00,Pankaj Naidu,+916054810928,customer61@kaushalkonnect.in
68,457,433,Carpentry,Gurugram,2143,booked,2026-07-23T03:50:34.373892+00:00,Nikhil Iyer,+916644128695,customer433@kaushalkonnect.in
69,123,227,Home Cleaning,Delhi,948,rejected,2026-08-15T21:29:49.373892+00:00,Yogesh Qureshi,+917658406263,customer227@kaushalkonnect.in
70,665,245,Appliance Repair,Ghaziabad,976,booked,2026-07-13T02:20:35.373892+00:00,Rohit Sood,+917726232735,customer245@kaushalkonnect.in
71,315,223,Carpentry,Ghaziabad,2202,booked,2026-08-14T06:27:15.373892+00:00,Dev Pandey,+917594328495,customer223@kaushalkonnect.in
72,772,498,Appliance Repair,Delhi,1112,booked,2026-09-07T18:17:28.373892+00:00,Shreya Thakur,+918616624771,customer498@kaushalkonnect.in
73,606,379,Appliance Repair,Noida,1693,requested,2026-06-27T02:03:04.373892+00:00,Vikram Tiwari,+919979181543,customer379@kaushalkonnect.in
74,80,216,Electrical,Noida,2183,rejected,2026-06-23T00:17:13.373892+00:00,Mohit Rao,+918547854797,customer216@kaushalkonnect.in
75,105,427,Carpentry,Gurugram,1676,booked,2026-07-22T03:03:26.373892+00:00,Aditi Kumar,+917161978607,customer427@kaushalkonnect.in
76,732,370,Appliance Repair,Delhi,1672,completed,2026-08-04T10:24:05.373892+00:00,Pradeep Bisht,+916369601399,customer370@kaushalkonnect.in
77,197,493,Painting,Delhi,2096,booked,2026-08-19T15:02:37.373892+00:00,Yash Arora,+916388656173,customer493@kaushalkonnect.in
78,519,555,Electrical,Gurugram,1531,completed,2026-06-28T00:47:30.373892+00:00,Ravi Kohli,+917274431723,customer555@kaushalkonnect.in
79,634,242,Plumbing,Noida,1542,requested,2026-07-21T10:49:08.373892+00:00,Vinay Saini,+917819926899,customer242@kaushalkonnect.in
80,540,23,Painting,Gurugram,1634,booked,2026-08-31T20:33:46.373892+00:00,Rakesh Gupta,+919760482428,customer23@kaushalkonnect.in
81,867,115,Carpentry,Delhi,1198,completed,2026-08-29T12:15:40.373892+00:00,Pooja Thakur,+918947492431,customer115@kaushalkonnect.in
82,461,109,Electrical,Gurugram,1158,rejected,2026-07-16T04:28:13.373892+00:00,Ravi Wadhwa,+916211465544,customer109@kaushalkonnect.in
83,803,485,Painting,Gurugram,1200,cancelled,2026-08-10T02:51:45.373892+00:00,Ravi Ansari,+917796008813,customer485@kaushalkonnect.in
84,782,204,Plumbing,Delhi,869,cancelled,2026-07-22T04:37:47.373892+00:00,Rakesh Mishra,+918137619980,customer204@kaushalkonnect.in
85,37,58,Painting,Gurugram,1495,requested,2026-06-22T19:02:08.373892+00:00,Akash Nair,+918534399892,customer58@kaushalkonnect.in
86,176,340,Appliance Repair,Ghaziabad,3413,requested,2026-08-24T14:54:42.373892+00:00,Aarav Sood,+916897254814,customer340@kaushalkonnect.in
87,642,15,Painting,Delhi,1134,completed,2026-07-28T02:01:10.373892+00:00,Simran Tiwari,+918397341987,customer15@kaushalkonnect.in
88,248,233,Painting,Delhi,2510,booked,2026-08-25T20:50:55.373892+00:00,Arnav Ansari,+917807762986,customer233@kaushalkonnect.in
89,952,468,Plumbing,Ghaziabad,1535,booked,2026-06-30T07:36:08.373892+00:00,Karan Khanna,+916112379420,customer468@kaushalkonnect.in
90,688,286,Plumbing,Faridabad,1295,booked,2026-08-09T08:40:03.373892+00:00,Nisha Pandey,+916412262891,customer286@kaushalkonnect.in
91,192,191,Painting,Faridabad,1938,completed,2026-07-22T02:39:17.373892+00:00,Bhavna Roy,+919797236280,customer191@kaushalkonnect.in
92,200,537,Appliance Repair,Delhi,1605,completed,2026-06-15T14:03:26.373892+00:00,Karan Kohli,+919415864604,customer537@kaushalkonnect.in
93,808,512,Painting,Gurugram,2505,completed,2026-09-05T09:47:59.373892+00:00,Deepika Sharma,+918428667947,customer512@kaushalkonnect.in
94,740,263,Plumbing,Greater Noida,1028,booked,2026-08-14T06:53:19.373892+00:00,Anjali Ali,+919195555492,customer263@kaushalkonnect.in
95,779,191,Plumbing,Faridabad,1505,requested,2026-07-13T22:12:01.373892+00:00,Bhavna Roy,+919797236280,customer191@kaushalkonnect.in
96,942,459,Appliance Repair,Ghaziabad,1351,requested,2026-08-10T05:58:44.373892+00:00,Kunal Kohli,+916675992343,customer459@kaushalkonnect.in
97,715,18,Plumbing,Noida,1849,requested,2026-08-24T07:03:58.373892+00:00,Akash Khan,+916865191049,customer18@kaushalkonnect.in
98,739,430,Electrical,Gurugram,1484,cancelled,2026-06-23T17:03:28.373892+00:00,Divya Sood,+916345412247,customer430@kaushalkonnect.in
99,785,301,Carpentry,Noida,2854,booked,2026-06-30T03:58:47.373892+00:00,Karan Thakur,+918510196144,customer301@kaushalkonnect.in
100,190,97,Electrical,Delhi,2224,requested,2026-09-07T05:56:01.373892+00:00,Kavita Kohli,+917223748296,customer97@kaushalkonnect.in
101,351,116,Carpentry,Delhi,2395,booked,2026-08-01T12:41:26.373892+00:00,Vivek Sheikh,+919824113525,customer116@kaushalkonnect.in
102,823,492,Electrical,Ghaziabad,1454,requested,2026-08-02T07:59:58.373892+00:00,Gaurav Bhatia,+917320219419,customer492@kaushalkonnect.in
103,370,52,Plumbing,Noida,1134,requested,2026-07-04T05:43:23.373892+00:00,Meera Ghosh,+919924454531,customer52@kaushalkonnect.in
104,476,337,Appliance Repair,Gurugram,1670,requested,2026-08-17T17:28:18.373892+00:00,Sachin Shah,+918827315015,customer337@kaushalkonnect.in
105,338,405,Plumbing,Faridabad,848,booked,2026-06-18T03:59:48.373892+00:00,Yash Sheikh,+918589600690,customer405@kaushalkonnect.in
106,765,65,Home Cleaning,Delhi,828,completed,2026-08-13T10:06:38.373892+00:00,Rakesh Roy,+917561974383,customer65@kaushalkonnect.in
107,581,72,Electrical,Faridabad,1576,completed,2026-06-17T06:23:24.373892+00:00,Manish Agarwal,+919613270572,customer72@kaushalkonnect.in
108,627,542,Appliance Repair,Ghaziabad,3760,booked,2026-08-28T03:24:20.373892+00:00,Suman Kohli,+919228918772,customer542@kaushalkonnect.in
109,73,35,Electrical,Gurugram,1775,completed,2026-08-28T06:48:04.373892+00:00,Nisha Mehta,+916462424676,customer35@kaushalkonnect.in
110,177,132,Appliance Repair,Ghaziabad,1778,booked,2026-06-30T00:14:21.373892+00:00,Yash Kohli,+919102622246,customer132@kaushalkonnect.in
111,805,488,Painting,Gurugram,932,completed,2026-09-08T23:56:48.373892+00:00,Arnav Dutta,+919916208629,customer488@kaushalkonnect.in
112,612,1,Plumbing,Gurugram,1564,completed,2026-06-20T09:06:49.373892+00:00,Simran Srivastava,+916082754432,customer1@kaushalkonnect.in
113,450,522,Home Cleaning,Greater Noida,677,booked,2026-07-05T14:53:29.373892+00:00,Sonam Chaudhary,+918771796443,customer522@kaushalkonnect.in
114,825,471,Home Cleaning,Delhi,500,completed,2026-06-23T04:20:05.373892+00:00,Aditi Qureshi,+916396817467,customer471@kaushalkonnect.in
115,41,317,Home Cleaning,Gurugram,500,cancelled,2026-08-17T22:56:26.373892+00:00,Vivek Patel,+917140868405,customer317@kaushalkonnect.in
116,794,302,Appliance Repair,Greater Noida,2286,booked,2026-08-29T18:33:25.373892+00:00,Yogesh Khanna,+916508934349,customer302@kaushalkonnect.in
117,286,180,Plumbing,Delhi,1766,booked,2026-08-08T08:40:42.373892+00:00,Neeraj Nair,+916307210996,customer180@kaushalkonnect.in
118,400,307,Painting,Gurugram,1258,completed,2026-07-29T17:07:15.373892+00:00,Ayush Sharma,+917471001363,customer307@kaushalkonnect.in
119,554,171,Carpentry,Greater Noida,2835,booked,2026-06-14T12:19:18.373892+00:00,Deepika Patel,+917590139016,customer171@kaushalkonnect.in
120,396,491,Appliance Repair,Greater Noida,1233,booked,2026-08-19T16:12:50.373892+00:00,Aarav Menon,+918453655982,customer491@kaushalkonnect.in
121,18,194,Carpentry,Ghaziabad,1620,booked,2026-06-15T07:52:21.373892+00:00,Sakshi Sharma,+917869681591,customer194@kaushalkonnect.in
122,705,222,Carpentry,Delhi,1852,cancelled,2026-07-04T01:41:03.373892+00:00,Siddharth Pandey,+916457296056,customer222@kaushalkonnect.in
123,690,570,Plumbing,Gurugram,1181,booked,2026-06-19T04:37:10.373892+00:00,Naman Das,+918558291200,customer570@kaushalkonnect.in
124,40,367,Electrical,Delhi,1575,booked,2026-08-05T19:02:19.373892+00:00,Sakshi Bhatia,+918332093858,customer367@kaushalkonnect.in
125,970,452,Painting,Delhi,1321,completed,2026-08-26T07:34:58.373892+00:00,Suraj Malhotra,+916400492888,customer452@kaushalkonnect.in
126,830,15,Electrical,Delhi,928,booked,2026-07-31T08:48:02.373892+00:00,Simran Tiwari,+918397341987,customer15@kaushalkonnect.in
127,287,572,Appliance Repair,Delhi,1856,cancelled,2026-08-16T00:31:14.373892+00:00,Arnav Menon,+916729581437,customer572@kaushalkonnect.in
128,184,271,Painting,Delhi,1511,requested,2026-07-05T04:25:29.373892+00:00,Nisha Das,+917283710874,customer271@kaushalkonnect.in
129,830,39,Electrical,Greater Noida,1552,completed,2026-08-17T19:26:56.373892+00:00,Rakesh Nair,+916119019085,customer39@kaushalkonnect.in
130,1000,170,Appliance Repair,Delhi,1709,booked,2026-08-13T02:59:08.373892+00:00,Vivek Bhatia,+918360719546,customer170@kaushalkonnect.in
131,619,34,Carpentry,Delhi,1210,completed,2026-06-15T05:04:08.373892+00:00,Neha Naidu,+918865227875,customer34@kaushalkonnect.in
132,808,113,Painting,Gurugram,1189,booked,2026-06-13T05:32:29.373892+00:00,Anjali Menon,+917971583759,customer113@kaushalkonnect.in
133,322,113,Home Cleaning,Gurugram,617,requested,2026-09-05T15:03:18.373892+00:00,Anjali Menon,+917971583759,customer113@kaushalkonnect.in
134,863,427,Appliance Repair,Gurugram,2396,cancelled,2026-08-27T13:48:47.373892+00:00,Aditi Kumar,+917161978607,customer427@kaushalkonnect.in
135,471,580,Electrical,Delhi,1225,requested,2026-08-29T16:04:05.373892+00:00,Sunil Joshi,+917897735260,customer580@kaushalkonnect.in
136,501,41,Electrical,Gurugram,1650,booked,2026-07-03T19:41:16.373892+00:00,Karan Sharma,+916107207304,customer41@kaushalkonnect.in
137,696,236,Painting,Delhi,1984,booked,2026-06-28T00:42:21.373892+00:00,Sonam Malhotra,+918250489029,customer236@kaushalkonnect.in
138,868,276,Plumbing,Gurugram,796,booked,2026-06-25T04:05:06.373892+00:00,Akash Bhatia,+919940142845,customer276@kaushalkonnect.in
139,94,73,Electrical,Delhi,1548,completed,2026-08-10T09:19:59.373892+00:00,Meera Kumar,+917136132628,customer73@kaushalkonnect.in
140,824,530,Appliance Repair,Gurugram,1823,cancelled,2026-07-18T00:51:42.373892+00:00,Rahul Patel,+918088665239,customer530@kaushalkonnect.in
141,559,559,Painting,Noida,800,booked,2026-06-26T22:53:53.373892+00:00,Arnav Ghosh,+917798176207,customer559@kaushalkonnect.in
142,711,97,Home Cleaning,Delhi,1033,cancelled,2026-08-28T00:39:27.373892+00:00,Kavita Kohli,+917223748296,customer97@kaushalkonnect.in
143,91,77,Electrical,Noida,823,completed,2026-08-23T17:20:52.373892+00:00,Rakesh Naidu,+919511190727,customer77@kaushalkonnect.in
144,388,375,Plumbing,Faridabad,1059,rejected,2026-06-14T18:43:13.373892+00:00,Bhavna Kapoor,+919134725344,customer375@kaushalkonnect.in
145,983,465,Electrical,Noida,1820,booked,2026-08-16T06:37:07.373892+00:00,Rohit Reddy,+919025670633,customer465@kaushalkonnect.in
146,35,437,Appliance Repair,Delhi,1921,booked,2026-08-21T08:18:09.373892+00:00,Raj Dutta,+919420631775,customer437@kaushalkonnect.in
147,630,35,Home Cleaning,Gurugram,754,booked,2026-07-25T23:54:26.373892+00:00,Nisha Mehta,+916462424676,customer35@kaushalkonnect.in
148,794,460,Appliance Repair,Gurugram,1392,requested,2026-09-08T08:38:39.373892+00:00,Rakesh Sheikh,+916441062571,customer460@kaushalkonnect.in
149,967,204,Plumbing,Delhi,801,booked,2026-08-04T17:41:47.373892+00:00,Rakesh Mishra,+918137619980,customer204@kaushalkonnect.in
150,530,173,Plumbing,Delhi,714,requested,2026-06-15T06:41:58.373892+00:00,Priya Reddy,+919939411389,customer173@kaushalkonnect.in
151,822,128,Electrical,Gurugram,1117,completed,2026-08-06T05:04:09.373892+00:00,Sanjay Rawat,+918586491298,customer128@kaushalkonnect.in
152,774,65,Electrical,Delhi,1458,booked,2026-07-21T11:04:19.373892+00:00,Rakesh Roy,+917561974383,customer65@kaushalkonnect.in
153,937,599,Electrical,Delhi,815,requested,2026-08-18T08:03:03.373892+00:00,Rakesh Jain,+916958927181,customer599@kaushalkonnect.in
154,447,337,Home Cleaning,Gurugram,1618,booked,2026-07-30T03:55:03.373892+00:00,Sachin Shah,+918827315015,customer337@kaushalkonnect.in
155,988,45,Painting,Delhi,2656,booked,2026-06-22T16:09:51.373892+00:00,Gaurav Tripathi,+917694925574,customer45@kaushalkonnect.in
156,211,495,Appliance Repair,Noida,2047,booked,2026-06-29T11:36:57.373892+00:00,Sakshi Patel,+918017379372,customer495@kaushalkonnect.in
157,145,499,Appliance Repair,Ghaziabad,1387,completed,2026-08-03T11:02:37.373892+00:00,Deepak Mishra,+917088184960,customer499@kaushalkonnect.in
158,201,504,Home Cleaning,Gurugram,1201,rejected,2026-06-21T10:42:48.373892+00:00,Sonam Khanna,+918703043010,customer504@kaushalkonnect.in
159,422,543,Appliance Repair,Faridabad,736,booked,2026-06-27T14:01:39.373892+00:00,Ayush Gupta,+917885975259,customer543@kaushalkonnect.in
160,94,38,Electrical,Noida,1388,requested,2026-06-27T11:52:24.373892+00:00,Vivek Khanna,+916955463077,customer38@kaushalkonnect.in
161,647,245,Electrical,Ghaziabad,993,booked,2026-06-30T02:10:38.373892+00:00,Rohit Sood,+917726232735,customer245@kaushalkonnect.in
162,543,417,Plumbing,Greater Noida,1146,completed,2026-09-01T10:04:41.373892+00:00,Aman Sood,+917476807826,customer417@kaushalkonnect.in
163,595,541,Home Cleaning,Delhi,773,rejected,2026-08-01T17:39:34.373892+00:00,Kunal Menon,+916011797175,customer541@kaushalkonnect.in
164,403,372,Appliance Repair,Delhi,749,cancelled,2026-08-27T00:19:10.373892+00:00,Anil Malhotra,+917785272762,customer372@kaushalkonnect.in
165,289,70,Painting,Noida,2248,requested,2026-06-15T03:21:06.373892+00:00,Divya Thakur,+919362593120,customer70@kaushalkonnect.in
166,992,112,Plumbing,Delhi,1348,completed,2026-08-08T10:20:25.373892+00:00,Arjun Wadhwa,+919666901867,customer112@kaushalkonnect.in
167,595,166,Home Cleaning,Delhi,704,requested,2026-07-21T01:19:34.373892+00:00,Neeraj Sharma,+916052441830,customer166@kaushalkonnect.in
168,276,48,Electrical,Delhi,1116,booked,2026-06-30T08:26:16.373892+00:00,Ashish Tripathi,+916647855605,customer48@kaushalkonnect.in
169,755,127,Home Cleaning,Faridabad,729,completed,2026-07-04T15:34:13.373892+00:00,Gaurav Khanna,+918370101835,customer127@kaushalkonnect.in
170,959,264,Plumbing,Noida,1212,rejected,2026-07-20T13:37:39.373892+00:00,Divya Rawat,+917913417288,customer264@kaushalkonnect.in
171,496,442,Home Cleaning,Delhi,513,cancelled,2026-08-12T22:11:35.373892+00:00,Shivam Saini,+918743728340,customer442@kaushalkonnect.in
172,875,409,Plumbing,Gurugram,1440,requested,2026-06-21T02:44:07.373892+00:00,Aman Bhatia,+917301746899,customer409@kaushalkonnect.in
173,337,404,Electrical,Delhi,805,booked,2026-09-06T15:21:00.373892+00:00,Pradeep Reddy,+919225248629,customer404@kaushalkonnect.in
174,859,338,Plumbing,Delhi,949,cancelled,2026-08-26T06:10:49.373892+00:00,Ayush Naidu,+918851325470,customer338@kaushalkonnect.in
175,71,251,Appliance Repair,Gurugram,2134,booked,2026-06-30T15:18:22.373892+00:00,Rohit Arora,+916080183613,customer251@kaushalkonnect.in
176,1,109,Electrical,Gurugram,1315,completed,2026-07-08T21:52:23.373892+00:00,Ravi Wadhwa,+916211465544,customer109@kaushalkonnect.in
177,261,217,Carpentry,Delhi,3062,booked,2026-07-02T07:40:06.373892+00:00,Aarav Bhardwaj,+918597580626,customer217@kaushalkonnect.in
178,20,63,Appliance Repair,Greater Noida,2037,requested,2026-08-07T22:57:23.373892+00:00,Kavita Arora,+916415739558,customer63@kaushalkonnect.in
179,295,587,Appliance Repair,Delhi,2088,rejected,2026-07-29T16:13:34.373892+00:00,Vivek Negi,+916220439054,customer587@kaushalkonnect.in
180,637,72,Home Cleaning,Faridabad,1131,requested,2026-07-16T17:38:54.373892+00:00,Manish Agarwal,+919613270572,customer72@kaushalkonnect.in
181,580,519,Appliance Repair,Delhi,2118,cancelled,2026-07-21T23:18:32.373892+00:00,Meera Pandey,+919891734613,customer519@kaushalkonnect.in
182,345,404,Home Cleaning,Delhi,1177,rejected,2026-07-11T16:18:12.373892+00:00,Pradeep Reddy,+919225248629,customer404@kaushalkonnect.in
183,912,430,Painting,Gurugram,1389,completed,2026-06-12T18:48:41.373892+00:00,Divya Sood,+916345412247,customer430@kaushalkonnect.in
184,958,10,Carpentry,Faridabad,2590,completed,2026-06-29T00:31:28.373892+00:00,Nisha Saxena,+917657347670,customer10@kaushalkonnect.in
185,950,251,Carpentry,Gurugram,2717,completed,2026-06-28T01:36:57.373892+00:00,Rohit Arora,+916080183613,customer251@kaushalkonnect.in
186,723,11,Carpentry,Gurugram,980,cancelled,2026-06-23T08:07:50.373892+00:00,Suman Shah,+919246399829,customer11@kaushalkonnect.in
187,99,397,Painting,Delhi,2256,requested,2026-09-09T13:56:07.373892+00:00,Rakesh Bisht,+917987835723,customer397@kaushalkonnect.in
188,905,163,Home Cleaning,Gurugram,577,requested,2026-07-23T00:52:50.373892+00:00,Bhavna Mehta,+919540295175,customer163@kaushalkonnect.in
